version|name|filename_search_result|git_history_search_result|src_reference_result|local_equivalent_status
20260516020048|seed_test_profiles_for_otp|NONE|NONE|NONE|NO_LOCAL_EQUIVALENT
20260516022236|create_webhook_tables|NONE|NONE|NONE|NO_LOCAL_EQUIVALENT
20260516022253|create_sync_cooldowns|NONE|NONE|NONE|NO_LOCAL_EQUIVALENT
20260516022445|create_phase2_checkpoint_tables|NONE|NONE|NONE|NO_LOCAL_EQUIVALENT
20260516113423|create_jira_sync_comments_backfill|NONE|NONE|NONE|NO_LOCAL_EQUIVALENT
20260516114009|add_projects_key_unique_index|NONE|NONE|NONE|NO_LOCAL_EQUIVALENT
20260516115133|fix_projects_key_constraint|NONE|NONE|NONE|NO_LOCAL_EQUIVALENT
20260516225257|work_items_settings_phase1_work_types|PARTIAL:20260517000005_work_items_settings_schema.sql|NONE|FOUND:notification-triggers.ts|NO_LOCAL_EQUIVALENT
20260516225315|work_items_settings_phase2_screen_config|PARTIAL:20260517000005_work_items_settings_schema.sql|NONE|FOUND:workhub.types.ts|NO_LOCAL_EQUIVALENT
20260516225335|work_items_settings_phase3_field_layout|PARTIAL:20260517000005_work_items_settings_schema.sql|NONE|FOUND:workhub.types.ts|NO_LOCAL_EQUIVALENT
20260516225354|work_items_settings_phase4_field_scheme|PARTIAL:20260517000005_work_items_settings_schema.sql|NONE|FOUND:workhub.types.ts|NO_LOCAL_EQUIVALENT
20260516230530|seed_bau_project_members_v2|NONE|NONE|NONE|NO_LOCAL_EQUIVALENT
20260516235200|catalyst_workflow_4types_story_epic_subtask_qabug|NONE|NONE|FOUND:request.ts|NO_LOCAL_EQUIVALENT
20260517112811|repoint_orphan_profile_vikram_2026_05_17|NONE|NONE|NONE|NO_LOCAL_EQUIVALENT
20260517112843|profiles_email_unique_2026_05_17|NONE|NONE|NONE|NO_LOCAL_EQUIVALENT
20260517152843|project_members_user_id_fk_to_profiles_2026_05_17|NONE|NONE|FOUND:projecthub.ts|NO_LOCAL_EQUIVALENT
20260517153010|projects_add_lead_id_2026_05_17|NONE|NONE|NONE|NO_LOCAL_EQUIVALENT
20260517162558|helper_bulk_upsert_ph_issues_2026_05_17|NONE|NONE|NONE|NO_LOCAL_EQUIVALENT
20260517162732|helper_bulk_upsert_ph_issues_fix_2026_05_17|NONE|NONE|NONE|NO_LOCAL_EQUIVALENT
20260518130241|routing_taxonomy_violations_table|PARTIAL:20260518000000_routing_taxonomy_violations.sql|NONE|FOUND:types.ts|NO_LOCAL_EQUIVALENT
20260518130300|routing_taxonomy_cron_schedule|NONE|NONE|FOUND:types.ts|NO_LOCAL_EQUIVALENT
20260518213107|add_scheduled_design_audit|NONE|NONE|NONE|NO_LOCAL_EQUIVALENT
20260518213351|create_audit_tables_clean|NONE|NONE|FOUND:types.ts|NO_LOCAL_EQUIVALENT
